Label
learning outcome
fuzzy comprehensive evaluation method
data mart
multi-cell environment
ieee 802.11s
architecture designs
fuzzy evaluation
automated guided vehicles
shuttle radar topography mission
intermodulation
rule based reasoning
e-business models
received signal strength indicators
shared memory system
largest eigenvalues
clock and data recovery
transmission ranges
olsr
one-dimensional
nonnegative matrix factorization
side-channel attacks
mobile computing
mobile terminal
schedulability test
information quality
individual service
omni-directional antenna
fault detection
mobile ad hoc
iir digital filters
extensible stylesheet language (xslt)
policy iteration
random number generators
distributed control system
face identification
"chromosomes, human, pair 17"
librarians
trade-off analysis
optical code division multiple access
graph layout
spectral correlation
centralized scheduling
ims
communication aid
sliding mode observer
musical noise
scattering problems
persons with disabilities
"radiographic image interpretation, computer-assist"
mim devices
operational modal analysis
motion models
radar transmitters
heterochromatin
well founded semantics
speech corpora
incident signals
gate dielectrics
robust watermarks
public key
discrete cosine transform
matrix factorization
new business models
component model
gain control
confusion matrix
multimedia content
linear transformation
predictive distributions
high-dimensional feature space
edi
processor cores
energy markets
health expenditures
snp
interference channels
software architecture reverse engineering
mems deformable mirror
inter-carrier interference
motion capture system
capp
embedded application
multi-path routing
input models
background pixels
takagi-sugeno models
business process reengineering
mobility models
application specific integrated circuits
unscented particle filters
wifi
mach zehnder modulator
two-way relaying
linear polarization
rf-mems
interactive visualizations
insider attack
authentication servers
broadcast encryption
low-energy adaptive clustering hierarchies
on-line algorithms
hidden units
knowledge transfer
high-level programming language
mct
bilinear pairings
reference clock
electromagnetic field theory
behavioral synthesis
attribute weight
transconductance
sensor node (sn)
signcryption schemes
hybrid particle swarm optimization algorithm
hybrid evolutionary algorithm
government digitalization
wireless networks
fiber bragg grating
weighted graph
uhf
elearning
piezoelectric energy harvesting
small sample size problem
data clustering
shape information
observer design
ego-motion
e-learning technology
